vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-FIN-001,D5,d5_validation_workbook,Financiering,5,d5_financiering,Laagdrempelige steunpunten,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-002,D5,d5_validation_workbook,Financiering,6,d5_financiering,Sociaal verwijzen,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-003,D5,d5_validation_workbook,Financiering,7,d5_financiering,Valpreventie,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-004,D5,d5_validation_workbook,Financiering,8,d5_financiering,Overgewicht volwassenen,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-005,D5,d5_validation_workbook,Financiering,9,d5_financiering,Kansrijke Start,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-006,D5,d5_validation_workbook,Financiering,10,d5_financiering,Integrale gezinspoli,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-007,D5,d5_validation_workbook,Financiering,11,d5_financiering,Nu Niet Zwanger,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-008,D5,d5_validation_workbook,Financiering,12,d5_financiering,Mentale gezondheidsnetwerken,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-009,D5,d5_validation_workbook,Financiering,13,d5_financiering,Overgewicht kinderen,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-010,D5,d5_validation_workbook,Financiering,14,d5_financiering,Ontwikkelagenda 1 nieuw,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-FIN-011,D5,d5_validation_workbook,Financiering,15,d5_financiering,Ontwikkelagenda 2 / overige initiatieven,finance_matrix,finance_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-NNZ-001,D5,d5_validation_workbook,Nu Niet Zwanger,5,nu_niet_zwanger,Structurele regionale coördinatie NNZ,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-NNZ-002,D5,d5_validation_workbook,Nu Niet Zwanger,6,nu_niet_zwanger,Kinderwensverkenning in reguliere werkwijze,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-NNZ-003,D5,d5_validation_workbook,Nu Niet Zwanger,7,nu_niet_zwanger,"Samenwerking ziekenhuizen, verloskundigen, huisartsen",dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-NNZ-004,D5,d5_validation_workbook,Nu Niet Zwanger,8,nu_niet_zwanger,Toegankelijke anticonceptiezorg en budget,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-NNZ-005,D5,d5_validation_workbook,Nu Niet Zwanger,9,nu_niet_zwanger,Schaal GGD-regio versus IZA-regio,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-NNZ-006,D5,d5_validation_workbook,Nu Niet Zwanger,10,nu_niet_zwanger,Privacy en casuïstiekbespreking,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-OVW-001,D5,d5_validation_workbook,Overgewicht volwassenen,5,overgewicht_volwassenen,Doelgroep vanaf licht verhoogd GGR,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-OVW-002,D5,d5_validation_workbook,Overgewicht volwassenen,6,overgewicht_volwassenen,Centrale zorgcoördinator,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-OVW-003,D5,d5_validation_workbook,Overgewicht volwassenen,7,overgewicht_volwassenen,Beweegaanbod voor doelgroep,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-OVW-004,D5,d5_validation_workbook,Overgewicht volwassenen,8,overgewicht_volwassenen,Aanbod gezondheidsvaardigheden/leefstijl,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-OVW-005,D5,d5_validation_workbook,Overgewicht volwassenen,9,overgewicht_volwassenen,Individuele ondersteuning sociaal domein,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-OVW-006,D5,d5_validation_workbook,Overgewicht volwassenen,10,overgewicht_volwassenen,GLI en Zvw-aansluiting,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D5-OVW-007,D5,d5_validation_workbook,Overgewicht volwassenen,11,overgewicht_volwassenen,Signalering en probleemanalyse,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D6-DIG-001,D6,d6_validation_workbook,Digitaal-operationeel,7,digitale_en_operationele_infrastructuur,RTP,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D6-DIG-002,D6,d6_validation_workbook,Digitaal-operationeel,8,digitale_en_operationele_infrastructuur,RSO/data-infrastructuur,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D6-DIG-003,D6,d6_validation_workbook,Digitaal-operationeel,9,digitale_en_operationele_infrastructuur,Thuismonitoring / Monitoring@home,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
D6-DIG-004,D6,d6_validation_workbook,Digitaal-operationeel,10,digitale_en_operationele_infrastructuur,GGD dashboards/monitoring,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,finance_controller,,,,,
