vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-KS-001,D5,d5_validation_workbook,Kansrijke Start,5,kansrijke_start,Coalitie Kansrijke Start lokaal en regionaal,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-KS-002,D5,d5_validation_workbook,Kansrijke Start,6,kansrijke_start,Onderbouwde keuzes hulp- en ondersteuningsaanbod,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-KS-003,D5,d5_validation_workbook,Kansrijke Start,7,kansrijke_start,Samenwerkingsafspraken uitvoerend/organisatorisch/bestuurlijk,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-KS-004,D5,d5_validation_workbook,Kansrijke Start,8,kansrijke_start,Professionals kennen belang eerste 1000 dagen en handelen,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-KS-005,D5,d5_validation_workbook,Kansrijke Start,9,kansrijke_start,Ouders/ervaringskennis/sleutelfiguren betrokken,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-KS-006,D5,d5_validation_workbook,Kansrijke Start,10,kansrijke_start,Samenhang met Integrale gezinspoli en NNZ,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-KS-007,D5,d5_validation_workbook,Kansrijke Start,11,kansrijke_start,Financiering en structurele borging,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-LSP-001,D5,d5_validation_workbook,Laagdremp. steunpunten,5,laagdrempelige_steunpunten,Minimaal één laagdrempelig steunpunt per gemeente,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-LSP-002,D5,d5_validation_workbook,Laagdremp. steunpunten,6,laagdrempelige_steunpunten,Passend netwerk van verschillende typen LSP's,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-LSP-003,D5,d5_validation_workbook,Laagdremp. steunpunten,7,laagdrempelige_steunpunten,Doelgroep EPA en sociaal-emotionele kwetsbaarheid,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-LSP-004,D5,d5_validation_workbook,Laagdremp. steunpunten,8,laagdrempelige_steunpunten,Tien kenmerken voor LSP's,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-LSP-005,D5,d5_validation_workbook,Laagdremp. steunpunten,9,laagdrempelige_steunpunten,Samenhang met mentale gezondheidsnetwerken,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-LSP-006,D5,d5_validation_workbook,Laagdremp. steunpunten,10,laagdrempelige_steunpunten,"Eigenaar, coördinator en uitvoerders",dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-LSP-007,D5,d5_validation_workbook,Laagdremp. steunpunten,11,laagdrempelige_steunpunten,Financiering en structurele borging,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-MGN-001,D5,d5_validation_workbook,Mentale gezondheid,5,mentale_gezondheidsnetwerken,Regiospecifiek MGN-transformatieplan,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-MGN-002,D5,d5_validation_workbook,Mentale gezondheid,6,mentale_gezondheidsnetwerken,Borging na looptijd transformatieplan,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-MGN-003,D5,d5_validation_workbook,Mentale gezondheid,7,mentale_gezondheidsnetwerken,Verkennend gesprek,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-MGN-004,D5,d5_validation_workbook,Mentale gezondheid,8,mentale_gezondheidsnetwerken,Transfermechanisme,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-MGN-005,D5,d5_validation_workbook,Mentale gezondheid,9,mentale_gezondheidsnetwerken,Informatie wachttijden en aanbod,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-MGN-006,D5,d5_validation_workbook,Mentale gezondheid,10,mentale_gezondheidsnetwerken,Domeinoverstijgend casusoverleg,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-MGN-007,D5,d5_validation_workbook,Mentale gezondheid,11,mentale_gezondheidsnetwerken,Samenhang met sociaal verwijzen en LSP,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-NNZ-001,D5,d5_validation_workbook,Nu Niet Zwanger,5,nu_niet_zwanger,Structurele regionale coördinatie NNZ,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-NNZ-002,D5,d5_validation_workbook,Nu Niet Zwanger,6,nu_niet_zwanger,Kinderwensverkenning in reguliere werkwijze,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-NNZ-003,D5,d5_validation_workbook,Nu Niet Zwanger,7,nu_niet_zwanger,"Samenwerking ziekenhuizen, verloskundigen, huisartsen",dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-NNZ-004,D5,d5_validation_workbook,Nu Niet Zwanger,8,nu_niet_zwanger,Toegankelijke anticonceptiezorg en budget,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-NNZ-005,D5,d5_validation_workbook,Nu Niet Zwanger,9,nu_niet_zwanger,Schaal GGD-regio versus IZA-regio,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-NNZ-006,D5,d5_validation_workbook,Nu Niet Zwanger,10,nu_niet_zwanger,Privacy en casuïstiekbespreking,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OK-001,D5,d5_validation_workbook,Overgewicht kinderen,5,overgewicht_kinderen,Centrale zorgverlener jeugd,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OK-002,D5,d5_validation_workbook,Overgewicht kinderen,6,overgewicht_kinderen,Kinder-GLI-aanbieder,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OK-003,D5,d5_validation_workbook,Overgewicht kinderen,7,overgewicht_kinderen,Regionale coördinatie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OK-004,D5,d5_validation_workbook,Overgewicht kinderen,8,overgewicht_kinderen,Inkoopsplitsing zorgverzekeraar/gemeente,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OK-005,D5,d5_validation_workbook,Overgewicht kinderen,9,overgewicht_kinderen,Gemeentelijke lokale coördinatie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OK-006,D5,d5_validation_workbook,Overgewicht kinderen,10,overgewicht_kinderen,Samenhang volwassenen en Kansrijke Start,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OVW-001,D5,d5_validation_workbook,Overgewicht volwassenen,5,overgewicht_volwassenen,Doelgroep vanaf licht verhoogd GGR,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OVW-002,D5,d5_validation_workbook,Overgewicht volwassenen,6,overgewicht_volwassenen,Centrale zorgcoördinator,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OVW-003,D5,d5_validation_workbook,Overgewicht volwassenen,7,overgewicht_volwassenen,Beweegaanbod voor doelgroep,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OVW-004,D5,d5_validation_workbook,Overgewicht volwassenen,8,overgewicht_volwassenen,Aanbod gezondheidsvaardigheden/leefstijl,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
D5-OVW-005,D5,d5_validation_workbook,Overgewicht volwassenen,9,overgewicht_volwassenen,Individuele ondersteuning sociaal domein,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,gemeente_almere_sociaal_domein_d5,,,,,
