vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-IGP-001,D5,d5_validation_workbook,Integrale gezinspoli,5,integrale_gezinspoli,Bestaan/status integrale gezinspoli,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-IGP-002,D5,d5_validation_workbook,Integrale gezinspoli,6,integrale_gezinspoli,"Kernteam medisch, publieke gezondheid en sociaal domein",dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-IGP-003,D5,d5_validation_workbook,Integrale gezinspoli,7,integrale_gezinspoli,Eén aanspreekpunt voor het gezin,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-IGP-004,D5,d5_validation_workbook,Integrale gezinspoli,8,integrale_gezinspoli,Expertise op één plek / huiselijke context,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-IGP-005,D5,d5_validation_workbook,Integrale gezinspoli,9,integrale_gezinspoli,Multidisciplinair overleg,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-IGP-006,D5,d5_validation_workbook,Integrale gezinspoli,10,integrale_gezinspoli,Informele steunorganisaties inzetten,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-IGP-007,D5,d5_validation_workbook,Integrale gezinspoli,11,integrale_gezinspoli,Taakverschuiving en werkproces dreigende ziekenhuisinstroom,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-IGP-008,D5,d5_validation_workbook,Integrale gezinspoli,12,integrale_gezinspoli,Privacy/casuïstiek en gegevensdeling,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-KS-001,D5,d5_validation_workbook,Kansrijke Start,5,kansrijke_start,Coalitie Kansrijke Start lokaal en regionaal,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-KS-002,D5,d5_validation_workbook,Kansrijke Start,6,kansrijke_start,Onderbouwde keuzes hulp- en ondersteuningsaanbod,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-KS-003,D5,d5_validation_workbook,Kansrijke Start,7,kansrijke_start,Samenwerkingsafspraken uitvoerend/organisatorisch/bestuurlijk,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-KS-004,D5,d5_validation_workbook,Kansrijke Start,8,kansrijke_start,Professionals kennen belang eerste 1000 dagen en handelen,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-KS-005,D5,d5_validation_workbook,Kansrijke Start,9,kansrijke_start,Ouders/ervaringskennis/sleutelfiguren betrokken,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-KS-006,D5,d5_validation_workbook,Kansrijke Start,10,kansrijke_start,Samenhang met Integrale gezinspoli en NNZ,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-KS-007,D5,d5_validation_workbook,Kansrijke Start,11,kansrijke_start,Financiering en structurele borging,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-001,D5,d5_validation_workbook,Monitoring cyclus,5,d5_monitoring_cyclus,Overkoepelende doelen,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-002,D5,d5_validation_workbook,Monitoring cyclus,6,d5_monitoring_cyclus,Laagdrempelige steunpunten,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-003,D5,d5_validation_workbook,Monitoring cyclus,7,d5_monitoring_cyclus,Sociaal verwijzen,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-004,D5,d5_validation_workbook,Monitoring cyclus,8,d5_monitoring_cyclus,Valpreventie,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-005,D5,d5_validation_workbook,Monitoring cyclus,9,d5_monitoring_cyclus,Overgewicht volwassenen,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-006,D5,d5_validation_workbook,Monitoring cyclus,10,d5_monitoring_cyclus,Kansrijke Start,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-007,D5,d5_validation_workbook,Monitoring cyclus,11,d5_monitoring_cyclus,Integrale gezinspoli,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-008,D5,d5_validation_workbook,Monitoring cyclus,12,d5_monitoring_cyclus,Nu Niet Zwanger,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-009,D5,d5_validation_workbook,Monitoring cyclus,13,d5_monitoring_cyclus,Mentale gezondheidsnetwerken,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-MON-010,D5,d5_validation_workbook,Monitoring cyclus,14,d5_monitoring_cyclus,Overgewicht kinderen,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-NNZ-001,D5,d5_validation_workbook,Nu Niet Zwanger,5,nu_niet_zwanger,Structurele regionale coördinatie NNZ,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-NNZ-002,D5,d5_validation_workbook,Nu Niet Zwanger,6,nu_niet_zwanger,Kinderwensverkenning in reguliere werkwijze,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-NNZ-003,D5,d5_validation_workbook,Nu Niet Zwanger,7,nu_niet_zwanger,"Samenwerking ziekenhuizen, verloskundigen, huisartsen",dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-NNZ-004,D5,d5_validation_workbook,Nu Niet Zwanger,8,nu_niet_zwanger,Toegankelijke anticonceptiezorg en budget,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-NNZ-005,D5,d5_validation_workbook,Nu Niet Zwanger,9,nu_niet_zwanger,Schaal GGD-regio versus IZA-regio,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-NNZ-006,D5,d5_validation_workbook,Nu Niet Zwanger,10,nu_niet_zwanger,Privacy en casuïstiekbespreking,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-OK-001,D5,d5_validation_workbook,Overgewicht kinderen,5,overgewicht_kinderen,Centrale zorgverlener jeugd,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-OK-002,D5,d5_validation_workbook,Overgewicht kinderen,6,overgewicht_kinderen,Kinder-GLI-aanbieder,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-OK-003,D5,d5_validation_workbook,Overgewicht kinderen,7,overgewicht_kinderen,Regionale coördinatie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-OK-004,D5,d5_validation_workbook,Overgewicht kinderen,8,overgewicht_kinderen,Inkoopsplitsing zorgverzekeraar/gemeente,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-OK-005,D5,d5_validation_workbook,Overgewicht kinderen,9,overgewicht_kinderen,Gemeentelijke lokale coördinatie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-OK-006,D5,d5_validation_workbook,Overgewicht kinderen,10,overgewicht_kinderen,Samenhang volwassenen en Kansrijke Start,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-VAL-001,D5,d5_validation_workbook,Valpreventie,5,valpreventie,Opsporen verhoogd valrisico 65+,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-VAL-002,D5,d5_validation_workbook,Valpreventie,6,valpreventie,Valrisico-inschatting bij 14% van 65+,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-VAL-003,D5,d5_validation_workbook,Valpreventie,7,valpreventie,Erkende valpreventieve beweeginterventie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-VAL-004,D5,d5_validation_workbook,Valpreventie,8,valpreventie,Jaarlijkse deelname 3% verhoogd-valrisico groep,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-VAL-005,D5,d5_validation_workbook,Valpreventie,9,valpreventie,Voorlichting over valpreventie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-VAL-006,D5,d5_validation_workbook,Valpreventie,10,valpreventie,Structureel sport- en beweegaanbod,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D5-VAL-007,D5,d5_validation_workbook,Valpreventie,11,valpreventie,"Toeleiding, verwijzing en verantwoordelijkheid deelnemers",dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D6-GGD-001,D6,d6_validation_workbook,GGD Flevoland,7,ggd_flevoland_coordinatie,Reguliere publieke gezondheid,task_split_matrix,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D6-GGD-002,D6,d6_validation_workbook,GGD Flevoland,8,ggd_flevoland_coordinatie,GALA/SPUK-preventie,task_split_matrix,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D6-GGD-003,D6,d6_validation_workbook,GGD Flevoland,9,ggd_flevoland_coordinatie,Monitoring en dashboards,task_split_matrix,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D6-GGD-004,D6,d6_validation_workbook,GGD Flevoland,10,ggd_flevoland_coordinatie,Epidemiologie en advies,task_split_matrix,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D6-GGD-005,D6,d6_validation_workbook,GGD Flevoland,11,ggd_flevoland_coordinatie,Regionale IZA/AZWA-ondersteuning,task_split_matrix,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D6-GGD-006,D6,d6_validation_workbook,GGD Flevoland,12,ggd_flevoland_coordinatie,D6-specifieke Almere-taak,task_split_matrix,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D6-GGD-007,D6,d6_validation_workbook,GGD Flevoland,13,ggd_flevoland_coordinatie,Overig,task_split_matrix,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
D6-GS-001,D6,d6_validation_workbook,Gezonde School,7,gezonde_school_mentale_gezonde_school,D6-relatie: Welke beschrijving past bij Gezonde School / schoolwelzijn in Almere?,classification_choice,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ggd_jgz,,,,,
