vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-MON-001,D5,d5_validation_workbook,Monitoring cyclus,5,d5_monitoring_cyclus,Overkoepelende doelen,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-002,D5,d5_validation_workbook,Monitoring cyclus,6,d5_monitoring_cyclus,Laagdrempelige steunpunten,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-003,D5,d5_validation_workbook,Monitoring cyclus,7,d5_monitoring_cyclus,Sociaal verwijzen,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-004,D5,d5_validation_workbook,Monitoring cyclus,8,d5_monitoring_cyclus,Valpreventie,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-005,D5,d5_validation_workbook,Monitoring cyclus,9,d5_monitoring_cyclus,Overgewicht volwassenen,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-006,D5,d5_validation_workbook,Monitoring cyclus,10,d5_monitoring_cyclus,Kansrijke Start,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-007,D5,d5_validation_workbook,Monitoring cyclus,11,d5_monitoring_cyclus,Integrale gezinspoli,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-008,D5,d5_validation_workbook,Monitoring cyclus,12,d5_monitoring_cyclus,Nu Niet Zwanger,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-009,D5,d5_validation_workbook,Monitoring cyclus,13,d5_monitoring_cyclus,Mentale gezondheidsnetwerken,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D5-MON-010,D5,d5_validation_workbook,Monitoring cyclus,14,d5_monitoring_cyclus,Overgewicht kinderen,monitoring_matrix,validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-DIG-001,D6,d6_validation_workbook,Digitaal-operationeel,7,digitale_en_operationele_infrastructuur,RTP,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-DIG-002,D6,d6_validation_workbook,Digitaal-operationeel,8,digitale_en_operationele_infrastructuur,RSO/data-infrastructuur,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-DIG-003,D6,d6_validation_workbook,Digitaal-operationeel,9,digitale_en_operationele_infrastructuur,Thuismonitoring / Monitoring@home,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-DIG-004,D6,d6_validation_workbook,Digitaal-operationeel,10,digitale_en_operationele_infrastructuur,GGD dashboards/monitoring,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-DIG-005,D6,d6_validation_workbook,Digitaal-operationeel,11,digitale_en_operationele_infrastructuur,ACP/PZP data-sharing pilots,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-DIG-006,D6,d6_validation_workbook,Digitaal-operationeel,12,digitale_en_operationele_infrastructuur,Overig,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-MON-001,D6,d6_validation_workbook,Monitoring,7,kennis_advies_monitoring_dashboards,GGD dashboard/monitor,monitoring_matrix,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-MON-002,D6,d6_validation_workbook,Monitoring,8,kennis_advies_monitoring_dashboards,Kennis & Advies rapportage,monitoring_matrix,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-MON-003,D6,d6_validation_workbook,Monitoring,9,kennis_advies_monitoring_dashboards,Gemeentelijke monitor,monitoring_matrix,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-MON-004,D6,d6_validation_workbook,Monitoring,10,kennis_advies_monitoring_dashboards,Regionale programma-monitor,monitoring_matrix,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-MON-005,D6,d6_validation_workbook,Monitoring,11,kennis_advies_monitoring_dashboards,PGA/IZA-monitor,monitoring_matrix,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
D6-MON-006,D6,d6_validation_workbook,Monitoring,12,kennis_advies_monitoring_dashboards,Overig,monitoring_matrix,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,ict_data_privacy,,,,,
