vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-OPT-001,D5,d5_validation_workbook,Optionele ontwikkelagenda,5,optionele_ontwikkelagenda,Dementie,dropdown_plus_evidence,decision_ticket_or_status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OPT-002,D5,d5_validation_workbook,Optionele ontwikkelagenda,6,optionele_ontwikkelagenda,Nicotinevrij,dropdown_plus_evidence,decision_ticket_or_status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OPT-003,D5,d5_validation_workbook,Optionele ontwikkelagenda,7,optionele_ontwikkelagenda,Rookvrije start,dropdown_plus_evidence,decision_ticket_or_status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OPT-004,D5,d5_validation_workbook,Optionele ontwikkelagenda,8,optionele_ontwikkelagenda,Multiproblematiek NPLV-gebieden,dropdown_plus_evidence,decision_ticket_or_status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OPT-005,D5,d5_validation_workbook,Optionele ontwikkelagenda,9,optionele_ontwikkelagenda,Ontwikkelagenda 2 / overige initiatieven,dropdown_plus_evidence,decision_ticket_or_status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-001,D5,d5_validation_workbook,Overzicht D5,11,d5_overview,Laagdrempelige steunpunten,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-002,D5,d5_validation_workbook,Overzicht D5,12,d5_overview,Sociaal verwijzen,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-003,D5,d5_validation_workbook,Overzicht D5,13,d5_overview,Valpreventie,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-004,D5,d5_validation_workbook,Overzicht D5,14,d5_overview,Overgewicht volwassenen,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-005,D5,d5_validation_workbook,Overzicht D5,15,d5_overview,Kansrijke Start,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-006,D5,d5_validation_workbook,Overzicht D5,16,d5_overview,Integrale gezinspoli,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-007,D5,d5_validation_workbook,Overzicht D5,17,d5_overview,Nu Niet Zwanger,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-008,D5,d5_validation_workbook,Overzicht D5,18,d5_overview,Mentale gezondheidsnetwerken,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-009,D5,d5_validation_workbook,Overzicht D5,19,d5_overview,Overgewicht kinderen,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-010,D5,d5_validation_workbook,Overzicht D5,20,d5_overview,Ontwikkelagenda 1 nieuw,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-011,D5,d5_validation_workbook,Overzicht D5,21,d5_overview,Ontwikkelagenda 2 / overige initiatieven,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
D5-OVZ-012,D5,d5_validation_workbook,Overzicht D5,22,d5_overview,Overkoepelende werkagenda-afspraken,status_overview,status_matrix_update,True,nog_niet_gevraagd,pre_contact_send_readiness,kernteam_werkagenda,,,,,
