vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D6-DIG-001,D6,d6_validation_workbook,Digitaal-operationeel,7,digitale_en_operationele_infrastructuur,RTP,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-DIG-002,D6,d6_validation_workbook,Digitaal-operationeel,8,digitale_en_operationele_infrastructuur,RSO/data-infrastructuur,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-DIG-003,D6,d6_validation_workbook,Digitaal-operationeel,9,digitale_en_operationele_infrastructuur,Thuismonitoring / Monitoring@home,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-DIG-004,D6,d6_validation_workbook,Digitaal-operationeel,10,digitale_en_operationele_infrastructuur,GGD dashboards/monitoring,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-DIG-005,D6,d6_validation_workbook,Digitaal-operationeel,11,digitale_en_operationele_infrastructuur,ACP/PZP data-sharing pilots,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-DIG-006,D6,d6_validation_workbook,Digitaal-operationeel,12,digitale_en_operationele_infrastructuur,Overig,subcomponent_inventory,d6_validation_log_or_ict_privacy_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-PZF-001,D6,d6_validation_workbook,PGA-Zorgzaam-Flever,7,pga_zorgzaam_flever_interface,PGA,actor_role_matrix,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-PZF-002,D6,d6_validation_workbook,PGA-Zorgzaam-Flever,8,pga_zorgzaam_flever_interface,Zorgzaam Flevoland,actor_role_matrix,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-PZF-003,D6,d6_validation_workbook,PGA-Zorgzaam-Flever,9,pga_zorgzaam_flever_interface,Flever,actor_role_matrix,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-PZF-004,D6,d6_validation_workbook,PGA-Zorgzaam-Flever,10,pga_zorgzaam_flever_interface,GGD Flevoland,actor_role_matrix,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-PZF-005,D6,d6_validation_workbook,PGA-Zorgzaam-Flever,11,pga_zorgzaam_flever_interface,AZWA-werkagendagovernance,actor_role_matrix,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-PZF-006,D6,d6_validation_workbook,PGA-Zorgzaam-Flever,12,pga_zorgzaam_flever_interface,Gemeente Almere,actor_role_matrix,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
D6-PZF-007,D6,d6_validation_workbook,PGA-Zorgzaam-Flever,13,pga_zorgzaam_flever_interface,Overig,actor_role_matrix,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,pga_zorgzaam_flever_regionale_governance,,,,,
