vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-GOV-001,D5,d5_validation_workbook,Governance rollen,5,d5_governance_rollen,Laagdrempelige steunpunten,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-002,D5,d5_validation_workbook,Governance rollen,6,d5_governance_rollen,Laagdrempelige steunpunten,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-003,D5,d5_validation_workbook,Governance rollen,7,d5_governance_rollen,Laagdrempelige steunpunten,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-004,D5,d5_validation_workbook,Governance rollen,8,d5_governance_rollen,Laagdrempelige steunpunten,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-005,D5,d5_validation_workbook,Governance rollen,9,d5_governance_rollen,Laagdrempelige steunpunten,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-006,D5,d5_validation_workbook,Governance rollen,10,d5_governance_rollen,Sociaal verwijzen,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-007,D5,d5_validation_workbook,Governance rollen,11,d5_governance_rollen,Sociaal verwijzen,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-008,D5,d5_validation_workbook,Governance rollen,12,d5_governance_rollen,Sociaal verwijzen,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-009,D5,d5_validation_workbook,Governance rollen,13,d5_governance_rollen,Sociaal verwijzen,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
D5-GOV-010,D5,d5_validation_workbook,Governance rollen,14,d5_governance_rollen,Sociaal verwijzen,role_matrix,decision_register_or_validation_log,True,nog_niet_gevraagd,pre_contact_send_readiness,regionale_governance,,,,,
