vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D6-INF-001,D6,d6_validation_workbook,Informele steun,7,burgerinitiatieven_informele_steun,Wijkbudget,actor_mechanism_inventory,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INF-002,D6,d6_validation_workbook,Informele steun,8,burgerinitiatieven_informele_steun,Bewonersgestuurde buurtsteun,actor_mechanism_inventory,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INF-003,D6,d6_validation_workbook,Informele steun,9,burgerinitiatieven_informele_steun,VMCA vrijwilligerssteun,actor_mechanism_inventory,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INF-004,D6,d6_validation_workbook,Informele steun,10,burgerinitiatieven_informele_steun,De Schoor sociale-basissteun,actor_mechanism_inventory,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INF-005,D6,d6_validation_workbook,Informele steun,11,burgerinitiatieven_informele_steun,Humanitas informele steun,actor_mechanism_inventory,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INF-006,D6,d6_validation_workbook,Informele steun,12,burgerinitiatieven_informele_steun,Mantelzorgsteun,actor_mechanism_inventory,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INF-007,D6,d6_validation_workbook,Informele steun,13,burgerinitiatieven_informele_steun,Preventienetwerk-actor,actor_mechanism_inventory,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INF-008,D6,d6_validation_workbook,Informele steun,14,burgerinitiatieven_informele_steun,Overig,actor_mechanism_inventory,d6_validation_log_or_register_update,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INLOOP-001,D6,d6_validation_workbook,Inloopvoorzieningen,7,inloopvoorzieningen_sociaal_en_gezond,Buurtontmoeting / ontmoetingsvoorziening,component_inventory,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INLOOP-002,D6,d6_validation_workbook,Inloopvoorzieningen,8,inloopvoorzieningen_sociaal_en_gezond,Wijkbudget / bewonersinitiatief,component_inventory,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INLOOP-003,D6,d6_validation_workbook,Inloopvoorzieningen,9,inloopvoorzieningen_sociaal_en_gezond,Wijkteam-toegangsroute sociaal contact,component_inventory,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INLOOP-004,D6,d6_validation_workbook,Inloopvoorzieningen,10,inloopvoorzieningen_sociaal_en_gezond,De Schoor buurtkamer / activiteit,component_inventory,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
D6-INLOOP-005,D6,d6_validation_workbook,Inloopvoorzieningen,11,inloopvoorzieningen_sociaal_en_gezond,Vrijwilligers- of mantelzorgsteun,component_inventory,d6_validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,sociale_basis_partners,,,,,
