vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-IGP-001,D5,d5_validation_workbook,Integrale gezinspoli,5,integrale_gezinspoli,Bestaan/status integrale gezinspoli,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-IGP-002,D5,d5_validation_workbook,Integrale gezinspoli,6,integrale_gezinspoli,"Kernteam medisch, publieke gezondheid en sociaal domein",dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-IGP-003,D5,d5_validation_workbook,Integrale gezinspoli,7,integrale_gezinspoli,Eén aanspreekpunt voor het gezin,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-IGP-004,D5,d5_validation_workbook,Integrale gezinspoli,8,integrale_gezinspoli,Expertise op één plek / huiselijke context,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-IGP-005,D5,d5_validation_workbook,Integrale gezinspoli,9,integrale_gezinspoli,Multidisciplinair overleg,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-IGP-006,D5,d5_validation_workbook,Integrale gezinspoli,10,integrale_gezinspoli,Informele steunorganisaties inzetten,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-IGP-007,D5,d5_validation_workbook,Integrale gezinspoli,11,integrale_gezinspoli,Taakverschuiving en werkproces dreigende ziekenhuisinstroom,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-IGP-008,D5,d5_validation_workbook,Integrale gezinspoli,12,integrale_gezinspoli,Privacy/casuïstiek en gegevensdeling,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-KS-001,D5,d5_validation_workbook,Kansrijke Start,5,kansrijke_start,Coalitie Kansrijke Start lokaal en regionaal,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-KS-002,D5,d5_validation_workbook,Kansrijke Start,6,kansrijke_start,Onderbouwde keuzes hulp- en ondersteuningsaanbod,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-KS-003,D5,d5_validation_workbook,Kansrijke Start,7,kansrijke_start,Samenwerkingsafspraken uitvoerend/organisatorisch/bestuurlijk,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-KS-004,D5,d5_validation_workbook,Kansrijke Start,8,kansrijke_start,Professionals kennen belang eerste 1000 dagen en handelen,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-KS-005,D5,d5_validation_workbook,Kansrijke Start,9,kansrijke_start,Ouders/ervaringskennis/sleutelfiguren betrokken,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-KS-006,D5,d5_validation_workbook,Kansrijke Start,10,kansrijke_start,Samenhang met Integrale gezinspoli en NNZ,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
D5-KS-007,D5,d5_validation_workbook,Kansrijke Start,11,kansrijke_start,Financiering en structurele borging,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,vsv_geboortezorg_jgz,,,,,
