vraag_id,domain,workbook_id,sheet,sheet_row,component_id,question_text,antwoordtype,repo_update_effect,bewijstype_verplicht,validatiestatus_default,deadline,stakeholderpakket,answer,evidence_type,evidence_reference,correction_or_note,not_my_domain_reroute
D5-IGP-001,D5,d5_validation_workbook,Integrale gezinspoli,5,integrale_gezinspoli,Bestaan/status integrale gezinspoli,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-IGP-002,D5,d5_validation_workbook,Integrale gezinspoli,6,integrale_gezinspoli,"Kernteam medisch, publieke gezondheid en sociaal domein",dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-IGP-003,D5,d5_validation_workbook,Integrale gezinspoli,7,integrale_gezinspoli,Eén aanspreekpunt voor het gezin,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-IGP-004,D5,d5_validation_workbook,Integrale gezinspoli,8,integrale_gezinspoli,Expertise op één plek / huiselijke context,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-IGP-005,D5,d5_validation_workbook,Integrale gezinspoli,9,integrale_gezinspoli,Multidisciplinair overleg,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-IGP-006,D5,d5_validation_workbook,Integrale gezinspoli,10,integrale_gezinspoli,Informele steunorganisaties inzetten,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-IGP-007,D5,d5_validation_workbook,Integrale gezinspoli,11,integrale_gezinspoli,Taakverschuiving en werkproces dreigende ziekenhuisinstroom,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-IGP-008,D5,d5_validation_workbook,Integrale gezinspoli,12,integrale_gezinspoli,Privacy/casuïstiek en gegevensdeling,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-MGN-001,D5,d5_validation_workbook,Mentale gezondheid,5,mentale_gezondheidsnetwerken,Regiospecifiek MGN-transformatieplan,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-MGN-002,D5,d5_validation_workbook,Mentale gezondheid,6,mentale_gezondheidsnetwerken,Borging na looptijd transformatieplan,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-MGN-003,D5,d5_validation_workbook,Mentale gezondheid,7,mentale_gezondheidsnetwerken,Verkennend gesprek,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-MGN-004,D5,d5_validation_workbook,Mentale gezondheid,8,mentale_gezondheidsnetwerken,Transfermechanisme,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-MGN-005,D5,d5_validation_workbook,Mentale gezondheid,9,mentale_gezondheidsnetwerken,Informatie wachttijden en aanbod,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-MGN-006,D5,d5_validation_workbook,Mentale gezondheid,10,mentale_gezondheidsnetwerken,Domeinoverstijgend casusoverleg,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-MGN-007,D5,d5_validation_workbook,Mentale gezondheid,11,mentale_gezondheidsnetwerken,Samenhang met sociaal verwijzen en LSP,dropdown_plus_evidence,validation_log_or_decision_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OK-001,D5,d5_validation_workbook,Overgewicht kinderen,5,overgewicht_kinderen,Centrale zorgverlener jeugd,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OK-002,D5,d5_validation_workbook,Overgewicht kinderen,6,overgewicht_kinderen,Kinder-GLI-aanbieder,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OK-003,D5,d5_validation_workbook,Overgewicht kinderen,7,overgewicht_kinderen,Regionale coördinatie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OK-004,D5,d5_validation_workbook,Overgewicht kinderen,8,overgewicht_kinderen,Inkoopsplitsing zorgverzekeraar/gemeente,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OK-005,D5,d5_validation_workbook,Overgewicht kinderen,9,overgewicht_kinderen,Gemeentelijke lokale coördinatie,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OK-006,D5,d5_validation_workbook,Overgewicht kinderen,10,overgewicht_kinderen,Samenhang volwassenen en Kansrijke Start,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OVW-001,D5,d5_validation_workbook,Overgewicht volwassenen,5,overgewicht_volwassenen,Doelgroep vanaf licht verhoogd GGR,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OVW-002,D5,d5_validation_workbook,Overgewicht volwassenen,6,overgewicht_volwassenen,Centrale zorgcoördinator,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OVW-003,D5,d5_validation_workbook,Overgewicht volwassenen,7,overgewicht_volwassenen,Beweegaanbod voor doelgroep,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OVW-004,D5,d5_validation_workbook,Overgewicht volwassenen,8,overgewicht_volwassenen,Aanbod gezondheidsvaardigheden/leefstijl,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OVW-005,D5,d5_validation_workbook,Overgewicht volwassenen,9,overgewicht_volwassenen,Individuele ondersteuning sociaal domein,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OVW-006,D5,d5_validation_workbook,Overgewicht volwassenen,10,overgewicht_volwassenen,GLI en Zvw-aansluiting,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
D5-OVW-007,D5,d5_validation_workbook,Overgewicht volwassenen,11,overgewicht_volwassenen,Signalering en probleemanalyse,dropdown_plus_evidence,validation_log_or_finance_ticket,True,nog_niet_gevraagd,pre_contact_send_readiness,zorgverzekeraar_zvw,,,,,
